ilt_id,location,startDate,meetingStart,meetingEnd
1,Mendezside,2023-06-14,15:28:16,16:31:08
1,Cummingston,2023-08-25,15:21:21,12:14:07
3,Piercechester,2023-08-27,16:03:58,12:08:24
10,Port Jonathanland,2023-06-28,11:50:41,09:39:01
3,West Hollyberg,2023-07-27,13:39:00,04:44:07
2,Anamouth,2023-07-30,06:17:55,08:00:33
11,Rachelmouth,2023-07-18,18:04:07,02:02:19
13,West Jessicafurt,2023-06-22,17:27:21,12:26:33
5,Jeremymouth,2023-08-27,07:31:35,14:13:45
6,Port James,2023-07-03,00:51:44,07:40:33
7,Hernandezview,2023-05-25,08:30:52,12:01:20
13,New Joshua,2023-06-30,16:52:58,06:33:13
4,Daviston,2023-05-25,02:09:40,02:19:15
14,East Cathystad,2023-07-09,06:00:17,21:38:05
4,Anthonyfort,2023-07-26,19:30:32,03:25:59
6,Lake Susan,2023-08-25,10:58:09,10:27:19
4,Lake Lorihaven,2023-05-30,15:38:13,18:32:42
12,Mcgeemouth,2023-05-28,04:48:15,18:00:17
9,Hardystad,2023-08-24,06:42:32,17:10:03
8,Markport,2023-05-25,15:09:50,04:33:34
6,East Jerry,2023-07-04,13:38:28,09:20:38
8,Angelaborough,2023-06-02,06:31:11,08:57:52
14,South Amberfurt,2023-05-23,11:34:16,22:26:29
7,Port Makaylastad,2023-08-22,23:08:58,15:18:16
9,East Juanfurt,2023-06-07,06:51:23,05:49:12
15,Saraland,2023-05-20,05:48:04,03:38:19
5,Angelahaven,2023-07-21,04:19:58,03:32:30
7,Howardstad,2023-07-30,06:12:17,01:46:21
15,East Manuelland,2023-09-06,14:15:14,00:57:57
7,Michaelview,2023-08-14,05:30:27,20:44:30
1,Thomasborough,2023-08-10,11:05:23,22:31:18
7,South Jeremiah,2023-08-02,11:40:41,22:08:02
