ilt_id,location,startDate,meetingStart,meetingEnd
7,Jasontown,2023-07-31,00:18:59,06:05:58
1,Vanessastad,2023-08-29,08:26:10,11:53:12
14,Lake Jay,2023-08-18,08:39:23,10:44:45
13,Theresastad,2023-08-14,13:07:25,16:31:00
12,Zacharyton,2023-07-17,20:54:52,05:40:47
13,Port Tony,2023-07-27,23:46:23,17:35:07
5,North Juanshire,2023-08-27,11:20:12,08:00:10
14,Lake Ian,2023-08-21,00:36:49,21:18:35
2,Mistystad,2023-07-24,20:58:48,08:34:46
6,Lake Bobbybury,2023-08-28,22:42:29,20:23:45
7,North James,2023-09-04,08:09:56,18:31:59
12,North Cody,2023-09-01,03:22:59,17:31:41
10,Port Christian,2023-09-01,19:51:37,18:40:13
3,Richardsonville,2023-08-12,18:08:35,14:47:36
14,Port Matthew,2023-08-28,16:56:27,15:08:45
15,Bradleymouth,2023-07-25,07:20:32,21:45:02
1,Lake Frances,2023-07-28,12:14:39,18:57:57
12,West Tammy,2023-09-01,03:37:43,21:17:25
10,Benjaminview,2023-08-14,09:06:19,21:38:19
6,South Jessica,2023-09-01,03:26:46,13:09:48
1,Sullivanchester,2023-07-27,12:42:21,21:00:52
7,Scottfurt,2023-07-18,10:46:26,11:52:32
2,East Colinfort,2023-07-29,12:28:30,04:25:44
10,Donnastad,2023-07-30,10:02:59,02:33:23
13,Brownland,2023-08-28,23:01:33,08:35:32
6,Port Andrea,2023-07-15,09:26:04,23:23:02
13,Peterschester,2023-08-14,13:11:05,08:44:40
3,Youngville,2023-08-17,14:19:12,18:47:48
7,North Saraberg,2023-07-26,16:21:09,18:23:53
9,Andrewsport,2023-09-03,00:34:32,23:09:32
2,Singletonfort,2023-08-27,12:40:54,12:00:15
5,Zavalaport,2023-08-26,20:23:37,22:27:54
